source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Sometimes it’s hard to know what to do after a loss. Not this time. This tax bill is only going to get worse as pe… https://t.co/a8Nzc6ay8j,12-02-2017 20:40:50,,,false,937059004013977600
Twitter for iPhone,Sign up before midnight TONIGHT! https://t.co/pWgTnNKzkp,11-30-2017 23:08:43,,,false,936371444304531456
Twitter for iPhone,RT @swingleft: It's #GivingTuesday! With your donation of $25 or more to Swing Left take your pick of one of our brand-new holiday cards—p…,11-29-2017 00:43:21,,,true,935670482447290368
Twitter for iPhone,RT @IndivisibleTeam: This is one of the exciting things about today! Your donations are matched 1:1 for #GivingTuesday so every and any kin…,11-29-2017 00:43:13,,,true,935670447412269056
Twitter for iPhone,RT @votingwhileblk: Support ColorOfChangePAC's work to engage Black voters in down-ballot races this #GivingTuesday 👉🏾 https://t.co/KRMsDIb…,11-29-2017 00:42:53,,,true,935670363924697088
Twitter for iPhone,RT @runforsomething: On Nov. 7 @runforsomething candidates added 31 seats to the progressive bench -- and we're just getting started! Toda…,11-29-2017 00:42:27,,,true,935670254621126661
Twitter for iPhone,RT @EmergeAmerica: It’s clear that the answer is to elect more women. On #GivingTuesday join our cause to recruit and train more Democrati…,11-29-2017 00:41:33,,,true,935670029819043840
Twitter for iPhone,You go girl! This is important; costs will go up &amp; powerful companies will get more powerful. We can’t let it slip… https://t.co/Zkzskxv6vO,11-22-2017 21:39:33,,,false,933449899487780864
Twitter for iPhone,And on top of that you can’t beat a little book signing wardrobe fun.https://t.co/K8VldCmTC6 https://t.co/9q9sTlpL3I,11-21-2017 22:57:42,,,false,933107180131282944
Twitter for iPhone,And being out on the book tour it has been wonderful to hear from so many people about their activism their courag… https://t.co/PtjFm5Srh5,11-21-2017 22:52:56,,,false,933105980484747264
Twitter for iPhone,Wow. I wasn’t sure how letting my guard down would go...but it’s been cathartic &amp; rewarding. I loved writing this b… https://t.co/XAzGg4yEJn,11-21-2017 22:51:45,,,false,933105682378870784
Twitter for iPhone,It’s been almost 2 months since Congress let the program that provides health care for 9 million children expire. C… https://t.co/nyta5LjMwg,11-20-2017 23:04:36,,,false,932746529475055618
Twitter for iPhone,RT @BillClinton: Tonight @HillaryClinton and I will join our friend @JamesCarville for a look back at the '92 campaign—25 years later!—and…,11-18-2017 22:30:49,,,true,932013250690023425
Twitter for iPhone,RT @swingleft: The House just passed a massive tax cut for the wealthy and Republicans want to pay for it by taking apart Obamacare. Let…,11-16-2017 23:35:04,,,true,931304645653299201
Twitter for iPhone,It’s true! I want to join your book club to talk about What Happened &amp; what’s happening...sign up! https://t.co/hmWiCrBgsq,11-16-2017 22:45:55,,,false,931292276709580802
Twitter for iPhone,@BenSPLATT @DearEvanHansen Two friends on a perfect day. Sincerely me.,11-16-2017 22:45:06,,,false,931292070312140804
Twitter for iPhone,Good. https://t.co/IqanY3F28F,11-16-2017 14:31:31,,,false,931167854828883968
Twitter for iPhone,Being your candidate was the honor of a lifetime. Now it's your turn to #runforsomething: https://t.co/ODzNQEossm,11-14-2017 20:57:55,,,false,930540319606747137
Twitter for iPhone,Looking forward to a great discussion with my friend Dorothy and to a great day @UVA! Tune in:… https://t.co/YjpqUr2RNz,11-14-2017 19:34:38,,,false,930519362158686209
Twitter for iPhone,Join me live this morning at 9:45am for an important discussion about child &amp; adolescent mental health focused on… https://t.co/XpYL3VTBrP,11-13-2017 14:36:56,,,false,930082055278428160
Twitter for iPhone,Proud of you Becca! https://t.co/xAY3yzdf7f https://t.co/lEo1f5eYDq,11-13-2017 00:02:55,,,false,929862099446181888
Twitter for iPhone,It was a thrill to work on this project with @ElaineWelteroth.  I’m really proud of the result. I hope you enjoy it. https://t.co/MILM8WdvOg,11-12-2017 16:35:30,,,false,929749504131289088
Twitter for iPhone,Thanks to everyone at @GWRodham for a great discussion last week and for advocating for stronger communities with… https://t.co/zV45scWbZF,11-11-2017 22:45:13,,,false,929480158452572160
Twitter for iPhone,Thank you to all who have worn our country's uniform and the families who serve with them. Happy Veterans Day.,11-11-2017 17:35:38,,,false,929402248102383616
Twitter for iPhone,Everyone deserves affordable health insurance. Head over to https://t.co/LTQmZQt3jJ and shop for a plan that's righ… https://t.co/jvQFYVZ4D9,11-11-2017 16:30:52,,,false,929385952233033729
Twitter for iPhone,Grateful to you and your determined husband. Like I say in my book I would have worked so hard to help &amp; had spec… https://t.co/ZyKaJuilFi,11-11-2017 00:37:28,,,false,929146019450900480
Twitter for iPhone,I’ve thought a lot about the church massacre last Sunday. What can anyone say equal to the horror &amp; grief? We sho… https://t.co/e6ihg7dhaO,11-10-2017 23:29:38,,,false,929128950118404096
Twitter for iPhone,Better believe it.And @billclinton has been tirelessly working on this issue through the @ClintonFdn:… https://t.co/6tNgv23JUb,11-09-2017 20:01:59,,,false,928714304957960192
Twitter for iPhone,Love this. What a great way to spend November 8th—or any day for that matter! https://t.co/LOsg41xCya,11-08-2017 16:04:58,,,false,928292270918561793
Twitter for iPhone,As we celebrate let’s also remember the work ahead. Proud that groups that Onward Together supports—including… https://t.co/ZvpAU7UHtP,11-08-2017 15:30:43,,,false,928283650860486659
Twitter for iPhone,So many groups own a piece of last night's victory from @theDemocrats to @EMILYsList to @TheDLCC. It's remarkable… https://t.co/Ta5sOjUTcL,11-08-2017 15:29:30,,,false,928283343648587777
Twitter for iPhone,And the important work done by @ColorofChange’s PAC was instrumental in winning the district attorney race in Philadelphia.,11-08-2017 15:27:49,,,false,928282921643003906
Twitter for iPhone,Our friends at @IndivisibleTeam report that their local groups made more than 600000 calls into the Commonwealth t… https://t.co/plz8fMyo41,11-08-2017 15:26:40,,,false,928282631397134337
Twitter for iPhone,.@EmergeAmerica-trained candidates won all across the country including 9 of the seats Democrats won in Virginia's House of Delegates.,11-08-2017 15:23:26,,,false,928281815542128641
Twitter for iPhone,They tell me about 10% of first-time candidates usually win but 40% of @runforsomething candidates came out on top yesterday.,11-08-2017 15:20:21,,,false,928281041927921669
Twitter for iPhone,Congratulations to @RunforSomething founders @amandalitman + @RossMoRock for a huge night! 25 of the local candidat… https://t.co/2xCECXHZV6,11-08-2017 15:16:36,,,false,928280098813472768
Twitter for iPhone,Last night was a great reminder of what’s possible when we come together and fight for what we believe in. So I wan… https://t.co/csF8KrpWwH,11-08-2017 15:15:55,,,false,928279927396368384
Twitter for iPhone,Yes! https://t.co/0DClXbHse8,11-08-2017 03:36:52,,,false,928104005875748865
Twitter for iPhone,And if you live in New York state like I do there are a lot of important races today so go out and vote—I did!,11-07-2017 16:40:16,,,false,927938766576201728
Twitter for iPhone,New Jersey: you have the chance to elect @PhilMurphyNJ @SheilaOliverNJ and other great Dems today. Take it!,11-07-2017 16:38:23,,,false,927938290304548864
Twitter for iPhone,Virginians: my friends @RalphNortham @FairfaxJustin @MarkHerringVA need you to show up and vote to get across the finish line.,11-07-2017 16:37:05,,,false,927937963064987648
Twitter for iPhone,You can confirm where to vote here: https://t.co/dm98k71nf1 https://t.co/FksLLn9kA0,11-07-2017 12:35:25,,,false,927877148249075712
