Date/Time           	Type    	Tweet                                                                                                                   	Tweet Id            
None                	tweet   	text                                                                                                                    	id_str              
2018-12-31 23:53:06 	tweet   	HAPPY NEW YEAR! https://t.co/bHoPDPQ7G6                                                                                 	1079888205351145472 
2019-01-01 00:40:26 	tweet   	MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal the USMCA that will replace the horrendous NAFTA Trade Deal which has so badly hurt our Country. Mexico &amp; Canada will also thrive - good for all!	1079900120047603713 
2019-01-01 00:51:43 	tweet   	The Democrats will probably submit a Bill being cute as always which gives everything away but gives NOTHING to Border Security namely the Wall. You see without the Wall there can be no Border Security - the Tech “stuff” is just by comparison meaningless bells &amp; whistles...	1079902957938925568 
2019-01-01 01:05:39 	tweet   	...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wheels. It was ALWAYS that way and it will ALWAYS be that way! Please explain to the Democrats that there can NEVER be a replacement for a good old fashioned WALL!	1079906462753869825 
2019-01-01 02:01:26 	retweet 	RT @WhiteHouse: 2018 has been a year of historic accomplishments! https://t.co/6Iq5CFVdwY                               	1079920504268562432 
2019-01-01 12:51:34 	tweet   	Dr. Sebastian Gorka a very good and talented guy has a great new book just out “Why We Fight.” Lots of insight - Enjoy! 	1080084113762197504 
2019-01-01 13:08:29 	tweet   	HAPPY NEW YEAR TO EVERYONE INCLUDING THE HATERS AND THE FAKE NEWS MEDIA! 2019 WILL BE A FANTASTIC YEAR FOR THOSE NOT SUFFERING FROM TRUMP DERANGEMENT SYNDROME. JUST CALM DOWN AND ENJOY THE RIDE GREAT THINGS ARE HAPPENING FOR OUR COUNTRY!	1080088373451206656 
2019-01-01 14:25:32 	tweet   	Happy New Year!                                                                                                         	1080107759755034624 
2019-01-01 14:32:01 	tweet   	The Democrats much as I suspected have allocated no money for a new Wall. So imaginative! The problem is without a Wall there can be no real Border Security - and our Country must finally have a Strong and Secure Southern Border!	1080109395357380613 
2019-01-01 14:50:39 	retweet 	RT @GOPChairwoman: Jobless claims fell last week to a 49-year low. Yet another sign that @realDonaldTrump’s economic policies are working a…	1080114081795842049 
2019-01-01 14:52:33 	retweet 	RT @GOPChairwoman: .@realDonaldTrump made sure the men and women of the Coast Guard continue to get paid during the #SchumerShutdown. Mea…	1080114559925567488 
2019-01-01 14:54:32 	retweet 	RT @realDonaldTrump: Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassado…	1080115061849575424 
2019-01-01 14:55:01 	retweet 	RT @realDonaldTrump: ....Senator Schumer more than a year longer than any other Administration in history. These are people who have been…	1080115181831761922 
2019-01-01 15:32:30 	tweet   	“General” McChrystal got fired like a dog by Obama. Last assignment a total bust. Known for big dumb mouth. Hillary lover! https://t.co/RzOkeHl3KV	1080124615920373760 
2019-01-01 15:51:09 	tweet   	One thing has now been proven. The Democrats do not care about Open Borders and all of the crime and drugs that Open Borders bring!	1080129307446513666 
2019-01-01 18:12:08 	tweet   	Congratulations to President @JairBolsonaro who just made a great inauguration speech - the U.S.A. is with you!         	1080164786330132480 
